id;reply_date;approval_date;status;file_path;improve_appraise;created_by;created_date;last_modified_by;last_modified_date
1;2020-09-07;2020-09-08;NG;array Internal;Engineer Forward;interactive yellow Mobility;2020-09-08T00:55:36;auxiliary e-commerce;2020-09-07T14:45:51
2;2020-09-07;2020-09-07;NG;Infrastructure;Brunei Dollar Electronics Automotive;Home Loan Account e-tailers Future-proofed;2020-09-08T02:22:28;synergies Research;2020-09-07T19:34:58
3;2020-09-07;2020-09-07;OK;Virtual;Persevering;Multi-channelled engage 1080p;2020-09-08T00:36:10;innovate Graphical User Interface;2020-09-08T05:00:45
4;2020-09-07;2020-09-08;OK;Implementation Realigned;Concrete;bus;2020-09-07T20:56:15;compressing;2020-09-07T17:33:48
5;2020-09-07;2020-09-07;NG;systems;programming Mission Generic Soft Car;Cambridgeshire Shoes green;2020-09-07T23:06:20;Keyboard;2020-09-08T02:58:56
6;2020-09-08;2020-09-07;OK;transmitting;fuchsia attitude-oriented Awesome Plastic Sausages;Regional iterate;2020-09-08T03:07:23;Cocos (Keeling) Islands Forge Internal;2020-09-08T02:32:57
7;2020-09-07;2020-09-07;NG;Idaho Burkina Faso;Ergonomic Concrete Soap SSL synthesizing;Ford Buckinghamshire copying;2020-09-08T05:03:26;out-of-the-box;2020-09-08T04:52:17
8;2020-09-07;2020-09-08;OK;extend parse deliverables;olive Chips Ports;real-time Auto Loan Account Metal;2020-09-08T03:10:29;deposit Total Handcrafted Soft Keyboard;2020-09-07T23:24:24
9;2020-09-07;2020-09-07;OK;deposit Savings Account Shoals;Licensed Rubber Salad;Lebanese Pound Parks;2020-09-07T23:53:05;Intelligent Rubber Gloves;2020-09-07T07:53:48
10;2020-09-07;2020-09-08;NG;interface;Sleek salmon;Unbranded Rubber Bike;2020-09-07T14:33:10;Dong;2020-09-07T09:05:38
