id;need_qty;price_ceiling;file_url;created_by;created_date;last_modified_by;last_modified_date
1;39923;31805;57795;time-frame;2020-08-31T12:30:18;Niger;2020-08-31T19:09:26
2;80883;78712;69926;Web microchip static;2020-08-31T19:22:10;incentivize drive;2020-08-31T16:20:37
3;6309;24773;45690;tan solution-oriented dedicated;2020-08-31T12:28:18;Reverse-engineered eyeballs;2020-08-31T12:02:21
4;74894;35120;99854;Home Loan Account;2020-09-01T05:47:06;Land Valley even-keeled;2020-09-01T07:00:52
5;40766;44914;91593;Madagascar task-force model;2020-08-31T22:24:30;Cross-platform Secured;2020-09-01T01:14:15
6;6001;95387;10238;Indonesia copy;2020-08-31T23:09:25;Home Loan Account national COM;2020-08-31T23:51:34
7;98153;83761;98762;hacking Principal Harbors;2020-08-31T13:10:33;Music Ethiopia;2020-08-31T12:20:46
8;53036;35267;92233;24 hour Infrastructure;2020-08-31T20:41:40;Beauty Fresh;2020-09-01T03:39:38
9;76379;7652;95965;Assurance supply-chains;2020-08-31T21:51:32;Planner;2020-08-31T16:30:22
10;20865;81099;18434;payment iterate;2020-09-01T04:22:03;redundant;2020-09-01T01:55:33
