id;type;cal_item_name;weight;score;change_score;change_reason;is_change;created_by;created_date;last_modified_by;last_modified_date
1;MANUAL;Rustic Concrete Shoes wireless Borders;25508;1951;33898;Michigan distributed cross-platform;false;Ecuador invoice hack;2020-09-07T14:19:09;invoice;2020-09-07T08:27:11
2;AUTO;Lead Centralized;31295;4377;34324;Dynamic Bedfordshire;false;Iceland;2020-09-07T09:42:12;Barbados Dollar;2020-09-07T10:57:46
3;MANUAL;Shirt leverage;30439;88149;27722;Vatu bypassing;true;Credit Card Account cyan;2020-09-08T04:45:33;withdrawal;2020-09-07T08:07:28
4;MANUAL;solutions harness Computers;3630;38261;98300;UAE Dirham Hat Bacon;false;Rustic Frozen Table Versatile Synergized;2020-09-07T14:58:31;Cotton Yemen hard drive;2020-09-07T16:30:59
5;MANUAL;visualize;5099;80508;69450;portals orchestration mint green;false;Steel digital;2020-09-07T13:45:56;redefine;2020-09-08T00:10:23
6;MANUAL;Sleek Home Loan Account leverage;92024;3671;9098;card morph leverage;false;deposit Human override;2020-09-07T15:05:11;circuit Money Market Account;2020-09-08T03:50:43
7;AUTO;deposit Frozen;57065;1493;34233;withdrawal;true;Wyoming;2020-09-07T12:57:35;Planner Awesome Cotton Shoes;2020-09-07T18:58:43
8;AUTO;Lead;98603;17929;17043;Computers;false;program backing up synthesize;2020-09-07T21:28:06;ADP Corporate Credit Card Account;2020-09-08T06:26:39
9;AUTO;Inlet Health complexity;54422;94912;95393;Assimilated Metrics;true;Home Loan Account Small Wooden Gloves SMTP;2020-09-07T08:43:14;portals;2020-09-07T16:30:07
10;AUTO;Fantastic Sleek Granite Fish solution-oriented;25936;21246;21825;Chips Generic neutral;false;Rhode Island;2020-09-07T19:48:22;Bolivia Refined generating;2020-09-08T04:14:48
