id;sort_index;column_name;column_value
1;2448;Mountains Tunnel leading-edge;salmon Tools
2;55056;back up pixel;Rapid
3;60616;Awesome Supervisor;real-time Washington
4;94803;Frozen Bermudian Dollar (customarily known as Bermuda Dollar) intangible;transmitting Australian Dollar Administrator
5;65862;compressing Facilitator;Pennsylvania Gloves red
6;38460;Slovakia (Slovak Republic) orchestration;Bolivar Fuerte Internal
7;54470;Identity grey;Senior Lari Sweden
8;63117;Personal Loan Account Kina;approach Colorado transmit
9;63067;connect Plastic;Executive Handcrafted alliance
10;76187;Land Incredible Metal Pants Orchestrator;protocol invoice
