id;kpi_code;total_score;start_date;end_date;status;grade;grade_description;created_by;created_date;last_modified_by;last_modified_date
1;Applications;31950;2020-09-07;2020-09-07;COMPLETE;overriding driver;Division generate copy;exploit Corporate;2020-09-07T12:23:10;parsing;2020-09-08T03:32:10
2;sensor Fresh infomediaries;22945;2020-09-07;2020-09-08;ASSESSING;SCSI Frozen;Plain microchip extranet;Specialist Investment Account;2020-09-08T00:45:13;override Clothing;2020-09-07T14:59:58
3;Creek New York foreground;66812;2020-09-07;2020-09-07;COMPLETE;Computer Sierra Leone Forest;input;invoice;2020-09-07T17:58:34;5th generation compressing Fish;2020-09-07T21:44:01
4;New Mexico;13697;2020-09-07;2020-09-07;RELEASE;View Checking Account Auto Loan Account;generate Applications Functionality;e-services Architect;2020-09-07T20:47:20;deposit Senior;2020-09-07T16:27:07
5;Money Market Account;49224;2020-09-08;2020-09-08;ASSESSING;dynamic Orchard;Kina;models;2020-09-07T21:20:52;Quality;2020-09-07T15:47:00
6;Accounts JBOD hard drive;79638;2020-09-08;2020-09-08;ASSESSING;non-volatile;synthesize;invoice;2020-09-07T17:22:41;Auto Loan Account Cliffs microchip;2020-09-07T12:41:28
7;deposit;3706;2020-09-08;2020-09-07;COMPLETE;interface Cambridgeshire card;Savings Account matrix;transitional deposit CSS;2020-09-08T02:20:23;Plastic system;2020-09-08T07:23:46
8;Brand white value-added;85185;2020-09-08;2020-09-07;ASSESSING;Associate IB demand-driven;web services Gorgeous Auto Loan Account;THX Cheese;2020-09-07T23:31:54;white;2020-09-07T18:48:56
9;lavender Gorgeous AGP;16253;2020-09-08;2020-09-07;ASSESSING;Intelligent array Fantastic;cohesive;Bacon Beauty capacitor;2020-09-07T21:24:12;Niger Human;2020-09-07T18:02:17
10;Communications;90797;2020-09-07;2020-09-08;ASSESSING;input;Iowa;partnerships;2020-09-08T06:36:55;Summit Saudi Arabia;2020-09-08T04:43:33
