id;ass_code;total_score;status;created_by;created_date;last_modified_by;last_modified_date
1;radical;44530;OVERDUE;Future-proofed Enhanced calculate;2020-09-07T12:04:08;Functionality;2020-09-08T04:19:14
2;users Leone orchid;31967;UNDER_REVIEW;Handcrafted interface;2020-09-07T20:23:45;online Dalasi;2020-09-08T05:51:32
3;haptic Program object-oriented;69963;NOT_FINISHED;Jewelery Credit Card Account;2020-09-08T04:22:17;Field;2020-09-07T22:39:25
4;Philippines;57680;REVIEW_OK;Incredible Reactive;2020-09-08T05:12:16;Awesome Cotton Pants;2020-09-08T03:35:14
5;bandwidth;57166;REVIEW_NG;bluetooth North Dakota;2020-09-08T03:30:30;solid state Croatian Kuna;2020-09-07T14:35:32
6;Roads;80156;REVIEW_OK;reintermediate sensor;2020-09-08T06:21:28;Ford Executive Ohio;2020-09-07T18:41:50
7;Sweden Planner generate;36212;REVIEW_OK;architecture;2020-09-08T06:59:57;Money Market Account;2020-09-08T00:53:59
8;Regional front-end bypass;69799;REVIEW_NG;Myanmar cultivate Utah;2020-09-08T03:25:27;impactful Savings Account salmon;2020-09-07T08:55:02
9;Proactive Designer;38238;OVERDUE;compressing Customer;2020-09-07T20:46:47;Cheese Money Market Account Steel;2020-09-07T17:28:28
10;France cross-media Missouri;59573;COMPLETE;online Tools;2020-09-07T21:19:01;seize;2020-09-07T15:32:03
