id;template_group_name;description;is_active;created_by;created_date;last_modified_by;last_modified_date
1;card Forward navigating;infrastructures;true;project;2020-09-07T21:48:51;Practical Concrete Computer;2020-09-07T22:12:45
2;Light Liberian Dollar;California;false;optical;2020-09-07T19:19:08;connecting bluetooth;2020-09-07T20:56:51
3;collaboration e-services;system-worthy calculate Borders;true;out-of-the-box;2020-09-07T14:58:09;Tactics Developer;2020-09-07T19:07:14
4;Small Frozen Tuna;visionary;false;parse;2020-09-07T16:55:30;Global Manager COM;2020-09-07T19:45:27
5;Alabama communities Car;knowledge user Developer Tactics;false;Direct white;2020-09-07T17:56:00;Chips bandwidth-monitored partnerships;2020-09-07T21:29:21
6;Saint Helena Pound Borders;Balboa US Dollar attitude-oriented;false;Music;2020-09-07T19:14:28;transmitter Division;2020-09-07T19:54:14
7;mobile Games Ergonomic Frozen Pizza;Computers Bike;true;auxiliary Tuna sticky;2020-09-07T08:02:50;compress;2020-09-07T23:52:02
8;Program;Investment Account indigo;false;virtual;2020-09-07T11:50:47;Buckinghamshire Right-sized;2020-09-07T17:50:31
9;SCSI Soft;calculate quantifying;false;FTP Buckinghamshire Awesome Frozen Bacon;2020-09-07T09:19:15;innovate Armenia;2020-09-08T06:59:05
10;Mouse Oklahoma;Malta Bike Guarani;false;ROI;2020-09-07T13:48:36;auxiliary cross-platform;2020-09-07T13:55:12
