id;from_num;v_code;m_code;quantity;created_by;created_date;last_modified_by;last_modified_date
1;51795;Mali;e-business;51430;optical Armenian Dram Games;2020-06-09T16:00:22;invoice;2020-06-09T05:27:20
2;95689;Denar deposit Customer;Center;74165;programming;2020-06-09T09:20:13;RAM Idaho Honduras;2020-06-09T23:41:17
3;12791;national;South Dakota Books;9476;Lead Decentralized Internal;2020-06-09T09:28:07;New York Texas;2020-06-09T02:49:57
4;24253;Cotton;Lead Rustic;82813;Saint Helena Pound;2020-06-09T13:21:16;Manager Fresh;2020-06-09T20:57:40
5;90913;orange Accounts;Turks and Caicos Islands matrix;82768;orchestrate Auto Loan Account;2020-06-10T00:05:36;Ball;2020-06-10T00:17:37
6;12394;Implementation Reduced;internet solution;32719;bypassing ivory;2020-06-09T22:18:01;Security Function-based Generic ;2020-06-09T08:32:05
7;86749;port scalable;Programmable;49565;Pike;2020-06-09T12:27:50;Customer-focused XML Borders;2020-06-09T12:15:38
8;84173;India Assistant;Metal Gorgeous;77861;Shirt AGP Officer;2020-06-09T10:21:07;infrastructures;2020-06-09T08:07:34
9;33421;Chair;North Carolina;32208;Directives;2020-06-09T12:59:40;Granite Tools virtual;2020-06-09T05:43:48
10;92603;Keyboard input Neck;innovate;71723;cross-platform digital;2020-06-09T22:56:40;brand Auto Loan Account;2020-06-09T09:18:21
