id;ag_code;ag_year;ag_type;ag_period;start_date;end_date;status;remark;created_by;created_date;last_modified_by;last_modified_date
1;synergies back-end;Electronics;index Iceland Krona;Consultant Re-engineered platforms;2020-09-08;2020-09-08;COMPLETE;focus group productivity;Avon;2020-09-07T13:33:15;online;2020-09-08T06:46:54
2;exploit;navigating override orange;Facilitator Upgradable;Junction SQL;2020-09-07;2020-09-07;RELEASE;compress;HDD;2020-09-07T13:30:53;redundant Factors Trafficway;2020-09-07T15:54:43
3;background;Home Loan Account Toys;Antarctica (the territory South of 60 deg S) Forks Designer;Generic Plastic Soap;2020-09-07;2020-09-07;ASSESSING;calculating scale;Haiti;2020-09-07T10:31:26;indexing Overpass;2020-09-07T18:38:27
4;interactive haptic;Interactions pink;Brunei Dollar;compress;2020-09-07;2020-09-08;COMPLETE;Lead Gorgeous Concrete Chair Direct;Savings Account attitude-oriented Paradigm;2020-09-07T20:35:05;Facilitator;2020-09-07T23:28:04
5;solid state Small Investment Account;Checking Account web-enabled Direct;West Virginia;synergize USB;2020-09-07;2020-09-07;COMPLETE;Towels;Practical Rubber Chair invoice;2020-09-07T09:02:27;Kuwait;2020-09-07T22:24:09
6;alliance copy Rubber;RAM eco-centric;tertiary Persistent;Kentucky index SDD;2020-09-08;2020-09-07;ASSESSING;Berkshire;Money Market Account;2020-09-07T09:14:04;Place;2020-09-07T09:17:08
7;Corporate index;Idaho Junction Moroccan Dirham;Customer-focused;methodology;2020-09-07;2020-09-07;ASSESSING;streamline payment groupware;Plains;2020-09-08T03:18:57;auxiliary Metal optical;2020-09-07T13:05:38
8;Pizza Gloves;Global synthesizing parse;virtual Ergonomic Ergonomic Granite Car;plum;2020-09-07;2020-09-07;ASSESSING;back-end cross-platform;Practical Frozen Bike platforms AGP;2020-09-07T08:46:59;Fort collaborative gold;2020-09-08T04:53:53
9;Fish PNG transmitter;solutions;microchip seize National;South Carolina;2020-09-07;2020-09-07;ASSESSING;Investor programming Granite;National intranet Representative;2020-09-08T01:51:12;Handcrafted hacking Ergonomic;2020-09-08T04:50:13
10;Borders virtual structure;Tools methodical Health;Mexico SSL;Shoes;2020-09-07;2020-09-08;COMPLETE;New Hampshire China;Nauru Lodge Sleek;2020-09-07T22:29:17;Sausages;2020-09-07T09:16:55
