id;score;weight;template_name;role_name;created_by;created_date;last_modified_by;last_modified_date
1;22542;41726;North Korean Won;seamless;bandwidth ivory withdrawal;2020-09-08T05:10:15;Open-source;2020-09-07T21:07:33
2;43519;77289;Court;West Virginia generating;Solutions solid state;2020-09-07T21:17:43;International integrate;2020-09-07T14:30:09
3;61594;4640;Meadows;brand Yuan Renminbi Metal;Generic;2020-09-07T11:10:32;Handmade Senior;2020-09-07T09:55:48
4;274;15834;actuating HTTP;Route Green;Aruban Guilder Syrian Pound;2020-09-07T18:41:16;withdrawal haptic;2020-09-08T05:35:59
5;71376;4271;Technician implement supply-chains;connecting;Concrete;2020-09-08T07:39:38;AGP;2020-09-07T11:58:19
6;21776;95404;Congolese Franc;bus Multi-layered;Quality Programmable;2020-09-08T05:21:45;Architect feed;2020-09-08T02:56:07
7;6120;51883;salmon Pizza Expressway;New Zealand Dollar;Investment Account Beauty;2020-09-08T07:39:36;Investment Account Home Loan Account Movies;2020-09-08T04:15:43
8;84820;38255;Avon;evolve mint green bluetooth;Strategist;2020-09-08T04:39:03;zero administration Granite;2020-09-08T00:46:17
9;37153;31493;Buckinghamshire;Forks haptic;De-engineered;2020-09-07T12:23:42;ubiquitous Incredible Rubber Mouse 1080p;2020-09-08T02:51:56
10;56245;82511;Rustic models Kentucky;Stravenue;Dong;2020-09-07T13:32:03;Sleek Rubber Pants;2020-09-07T20:39:53
