id;type;title;cal_item_name;description;weight;created_by;created_date;last_modified_by;last_modified_date
1;MANUAL;Intelligent Rubber;Programmable Electronics Optimization;parsing Auto Loan Account;6044;synthesize SQL Plastic;2020-09-07T21:55:33;invoice Burg visualize;2020-09-07T23:54:46
2;MANUAL;Island Buckinghamshire cyan;Mouse;Botswana Engineer asymmetric;43109;Wooden connecting panel;2020-09-08T07:23:43;Greece magenta;2020-09-08T03:43:24
3;AUTO;Bedfordshire Gorgeous Plastic Chicken;SSL Movies Investment Account;Buckinghamshire Handmade Fresh Shoes;91041;uniform instruction set Personal Loan Account;2020-09-08T02:06:10;magenta Fantastic;2020-09-07T19:32:14
4;MANUAL;Tenge;sensor Unbranded;blue content-based open-source;17958;online synergies e-tailers;2020-09-08T07:04:55;Yemen Turkmenistan;2020-09-08T06:24:56
5;AUTO;envisioneer Investment Account access;Personal Loan Account Home Loan Account;cross-platform Computer partnerships;92838;Consultant grey next generation;2020-09-08T01:44:41;infomediaries Engineer interface;2020-09-07T19:32:11
6;AUTO;Unbranded;Unbranded;EXE communities;89930;Mouse;2020-09-07T15:23:59;web-enabled Checking Account;2020-09-08T02:05:11
7;MANUAL;IB grey array;Awesome salmon indexing;tan Intranet Cambridgeshire;11085;bus Cambridgeshire plum;2020-09-07T11:54:06;24/7 Gloves Naira;2020-09-07T12:15:16
8;MANUAL;Clothing Botswana Berkshire;bus New Mexico SSL;open-source collaborative;37741;EXE IB;2020-09-07T22:26:42;next-generation;2020-09-07T13:45:09
9;AUTO;transmitting 4th generation;product override connect;Solutions;24441;Auto Loan Account Triple-buffered;2020-09-08T05:55:46;Fantastic Concrete Pants;2020-09-07T07:51:06
10;AUTO;Supervisor PNG generate;Incredible;USB Honduras;78533;Rubber;2020-09-08T04:13:08;software analyzing;2020-09-08T03:01:22
