id;scoring_weight;created_by;created_date;last_modified_by;last_modified_date
1;85459;Parkways;2020-09-07T17:08:08;Solutions Pitcairn Islands;2020-09-07T16:21:26
2;67289;Electronics;2020-09-08T03:29:11;cross-platform proactive;2020-09-07T19:34:24
3;18409;SAS;2020-09-08T05:22:06;Arkansas Table Agent;2020-09-08T06:14:56
4;83635;Manager invoice;2020-09-07T15:13:06;Centralized collaborative Rustic Frozen Shirt;2020-09-07T17:46:04
5;96137;SMTP matrix;2020-09-07T13:25:29;clear-thinking;2020-09-07T23:19:07
6;51817;Zloty Awesome Wooden Cheese Pizza;2020-09-07T11:59:28;strategy Borders background;2020-09-07T08:57:26
7;11503;parse;2020-09-07T21:20:03;homogeneous Multi-channelled;2020-09-07T15:03:12
8;19906;ivory back up Direct;2020-09-07T20:40:28;Borders Tasty Synergistic;2020-09-07T16:03:06
9;33971;program 24/7 Trail;2020-09-07T21:11:38;Bedfordshire bleeding-edge;2020-09-07T10:42:22
10;30586;fuchsia Plain Executive;2020-09-07T16:11:43;Creative;2020-09-07T22:26:28
