id;type;approval_date;approval_times;create_time;valid_date;status;template_file_path;abnormal_code;abnormal_create_date;abnormal_type;abnormal_grade;abnormal_name;abnormal_content;created_by;created_date;last_modified_by;last_modified_date
1;ABNORMAL;2020-09-08;1671;2020-09-07;2020-09-08;NOT_SEND;Illinois Avon;bleeding-edge Metal Chair;2020-09-07;bypass Engineer;indexing Designer;Shoes incubate Berkshire;Eritrea orange payment;panel Licensed Wooden Fish Frozen;2020-09-07T15:24:30;Ouguiya;2020-09-07T10:34:54
2;ABNORMAL;2020-09-07;99923;2020-09-07;2020-09-07;NOT_REPLY;Global;Industrial;2020-09-08;Quality-focused leverage alarm;system-worthy;Unbranded;Berkshire;Director program;2020-09-07T13:21:38;Liaison;2020-09-08T03:05:57
3;ABNORMAL;2020-09-08;25364;2020-09-07;2020-09-07;REPLY;enable Forward;aggregate SMTP policy;2020-09-08;parse bypassing;value-added Auto Loan Account Personal Loan Account;Borders Clothing Malawi;Dobra;bypassing solid state;2020-09-07T12:19:32;orchid revolutionary throughput;2020-09-07T21:43:03
4;ABNORMAL;2020-09-07;8305;2020-09-07;2020-09-07;REPLY;Ergonomic Ball Bahamian Dollar;Auto Loan Account Bedfordshire Kentucky;2020-09-08;capacitor;monetize;Toys Coordinator;moderator sky blue;Director Executive Adaptive;2020-09-08T07:01:14;Generic Fresh Hat Producer Awesome Granite Shirt;2020-09-07T13:58:47
5;NORMAL;2020-09-08;29464;2020-09-07;2020-09-07;OVERDUE;Credit Card Account Chicken Global;neutral interactive blue;2020-09-07;Unbranded SCSI Executive;Open-source Handcrafted maroon;program;turquoise copying;Health Tennessee HTTP;2020-09-07T20:44:00;hard drive;2020-09-07T18:05:16
6;ABNORMAL;2020-09-07;78934;2020-09-07;2020-09-07;UNQUALIFIED;North Dakota connect;Automotive;2020-09-07;Planner fault-tolerant;Kids tan;Quality Future Integrated;repurpose Washington Handcrafted;Avon Architect;2020-09-07T08:10:42;Outdoors Creative;2020-09-07T13:26:58
7;ABNORMAL;2020-09-08;70886;2020-09-08;2020-09-08;NOT_REPLY;Virtual Club Rustic;Realigned scale Networked;2020-09-07;Designer Officer;Malaysia;Squares;SMS;Operations Buckinghamshire grow;2020-09-07T14:19:17;Accountability Dynamic;2020-09-07T12:57:20
8;ABNORMAL;2020-09-08;96;2020-09-07;2020-09-07;NOT_REPLY;Buckinghamshire best-of-breed;CSS;2020-09-07;California Horizontal;compress;IB;best-of-breed infomediaries paradigms;Enterprise-wide;2020-09-07T13:58:45;seize;2020-09-08T04:11:16
9;NORMAL;2020-09-08;98686;2020-09-07;2020-09-08;NOT_REPLY;teal blue;microchip;2020-09-07;back up Savings Account distributed;turn-key real-time;red;Money Market Account relationships HDD;payment Refined Rubber Shirt grow;2020-09-08T00:14:27;Generic Plastic Bacon Cheese Quality;2020-09-07T18:41:04
10;ABNORMAL;2020-09-07;69274;2020-09-08;2020-09-07;QUALIFIED;ADP Cordoba Oro;SDD;2020-09-08;bluetooth leverage;Concrete;District navigating Integrated;Industrial;Balanced;2020-09-07T14:27:30;Pants Chief;2020-09-08T01:45:20
