id;start_date;end_date;language
1;2020-06-03T03:49:05;2020-06-03T01:39:20;SPANISH
2;2020-06-02T08:39:16;2020-06-03T03:43:41;SPANISH
3;2020-06-02T23:34:35;2020-06-02T10:08:44;FRENCH
4;2020-06-02T14:52:06;2020-06-03T02:23:32;FRENCH
5;2020-06-03T00:22:24;2020-06-03T05:09:23;FRENCH
6;2020-06-02T18:14:45;2020-06-03T06:22:59;FRENCH
7;2020-06-02T20:00:05;2020-06-02T13:50:56;FRENCH
8;2020-06-02T18:56:18;2020-06-03T05:12:26;SPANISH
9;2020-06-02T17:37:27;2020-06-02T14:18:50;SPANISH
10;2020-06-03T01:49:31;2020-06-02T12:24:01;SPANISH
