id;start_range;end_range;grade;need_improve;grade_description;oper_description;created_by;created_date;last_modified_by;last_modified_date
1;64304;2020-09-08T07:24:03;copying;false;Pizza Concrete payment;system blue;help-desk Accountability;2020-09-07T17:42:57;feed cultivate Senior;2020-09-08T06:40:08
2;81510;2020-09-08T05:20:18;Monitored groupware;true;Beauty Serbian Dinar;plum;6th generation interface eyeballs;2020-09-07T12:29:22;Pre-emptive Garden;2020-09-07T13:52:48
3;73728;2020-09-07T18:08:40;Views seamless;true;JBOD Plastic Fish;back up back up;interface invoice;2020-09-08T00:19:40;Avon Branding Personal Loan Account;2020-09-07T17:48:25
4;71844;2020-09-08T06:07:02;Tuna;false;Concrete parse Czech Koruna;conglomeration Guinea;Table Unbranded User-friendly;2020-09-07T14:26:13;system-worthy Fantastic Soft Car;2020-09-08T03:17:07
5;3809;2020-09-07T20:51:30;Rwanda;false;generate Pizza;matrix Coordinator;support help-desk Unbranded Concrete Table;2020-09-08T00:30:16;online Table;2020-09-07T08:13:57
6;37259;2020-09-07T08:02:16;transmitting;true;yellow;Sports;systematic;2020-09-07T23:33:15;24/365 lime Finland;2020-09-07T18:15:17
7;13524;2020-09-07T18:50:21;markets Burundi Franc;true;Square Fantastic Hawaii;Pine;online Small Fresh Salad;2020-09-07T11:12:19;Vanuatu Table Canyon;2020-09-07T08:59:23
8;64362;2020-09-07T17:24:18;redundant Books card;true;Interactions;backing up Plastic Grocery;Credit Card Account Tasty;2020-09-08T01:26:27;Egypt;2020-09-07T08:40:42
9;94985;2020-09-07T17:31:14;Toys index;true;solid state deposit Garden;Fresh;collaborative Passage;2020-09-08T00:54:44;Metal Music Incredible Soft Table;2020-09-08T04:27:21
10;16887;2020-09-07T19:10:18;EXE matrix;false;infrastructures;Mississippi bypass Arizona;connecting extend Afghani;2020-09-08T07:34:52;mint green didactic Colombian Peso Unidad de Valor Real;2020-09-08T01:20:57
