id;msg_id;msg_topic;msg_content;msg_mail_to;msg_sms_to;msg_create_time;msg_send_time;msg_status;msf_memo;msg_to_back_up;remark;last_modified_by;created_by;created_date;last_modified_date
1;82696;maximized Concrete District;Utah;Synergized Generic Fresh Fish Practical Fresh Sausages;success 4th generation blue;2020-06-15T23:47:45;2020-06-15T23:57:17;con;Savings Account;Bu;circuit;impactful;magenta teal Incredible Frozen Shoes;2020-06-15T22:51:45;2020-06-16T00:20:18
2;31495;payment Gorgeous Fresh Pants;Savings Account;Causeway Chips Bike;next-generation;2020-06-15T14:09:59;2020-06-15T11:08:59;con;4th generation Incredible panel;Ou;HTTP Credit Card Account;regional Euro;contingency interactive green;2020-06-15T04:53:54;2020-06-15T17:37:18
3;71619;Self-enabling panel customer loyalty;system PNG connecting;GB ADP;policy Fork;2020-06-15T13:38:29;2020-06-15T20:09:06;Gar;payment Texas core;Bo;Convertible Marks;program Borders;Bedfordshire;2020-06-15T07:54:30;2020-06-15T14:06:09
4;23084;Regional Supervisor;haptic Team-oriented Soft;Steel Borders;JBOD Niue Credit Card Account;2020-06-15T06:10:45;2020-06-15T07:08:02;Sav;bypassing Bedfordshire AGP;HD;wireless PCI Internal;mint green;Outdoors synergies;2020-06-15T08:04:46;2020-06-15T12:51:32
5;28691;withdrawal encoding;Legacy Bacon;transmit drive Checking Account;Borders Concrete neural;2020-06-15T22:06:40;2020-06-15T10:30:01;cor;Gorgeous Auto Loan Account;Ka;impactful;Open-architected global calculate;Metal;2020-06-15T05:00:34;2020-06-15T01:43:24
6;72275;architectures Cambridgeshire;Senior Small Concrete Bike;application hacking;Metal;2020-06-15T21:18:53;2020-06-15T22:15:09;Pro;Executive;Pe;Intelligent Wooden Chair approach bleeding-edge;Strategist generate;Lithuanian Litas;2020-06-15T21:03:54;2020-06-15T06:57:06
7;24011;Hawaii digital;intranet Iceland Krona Berkshire;black Turkmenistan;deposit Awesome Berkshire;2020-06-16T00:05:32;2020-06-15T07:05:49;Lou;Rustic Rubber Shirt Chief Belarus;Co;Montenegro Libyan Arab Jamahiriya Congolese Franc;overriding;optical;2020-06-15T01:32:07;2020-06-15T05:44:18
8;1231;methodical Micronesia;bypass card instruction set;synthesize;Bypass Fantastic Granite Computer killer;2020-06-15T07:09:51;2020-06-15T19:57:23;com;Incredible;Sm;Communications JSON indigo;Branding hack;New Mexico;2020-06-15T17:10:42;2020-06-15T20:05:32
9;8494;Outdoors Borders Ergonomic;analyzer;monitor;Dynamic;2020-06-15T10:04:14;2020-06-15T20:10:50;fee;Human firmware red;Ru;Concrete;Ball Supervisor;SDR relationships 24/365;2020-06-15T19:00:30;2020-06-15T21:19:41
10;22609;Moldova;monitor index index;auxiliary;Personal Loan Account Baby;2020-06-15T16:07:23;2020-06-16T00:56:42;Mas;Indiana;Pr;connecting;Incredible Metal Tuna connect quantifying;Garden Credit Card Account;2020-06-15T23:00:44;2020-06-15T08:12:26
