id;start_range;end_range;score;created_by;created_date;last_modified_by;last_modified_date
1;63362;2020-09-07T20:45:14;650;Associate Ball Principal;2020-09-08T01:31:45;Kyat Meadows Steel;2020-09-07T12:26:15
2;88232;2020-09-08T00:17:51;83664;protocol Flats;2020-09-07T14:21:32;Mouse;2020-09-08T01:52:35
3;65237;2020-09-07T14:42:12;67244;envisioneer;2020-09-07T22:29:25;bottom-line quantifying;2020-09-07T13:27:45
4;14258;2020-09-08T06:53:50;30961;Niue;2020-09-07T08:34:27;Central backing up;2020-09-07T15:25:53
5;6770;2020-09-07T16:39:38;12329;transmitter Lari;2020-09-08T06:09:51;Coordinator deposit Tools;2020-09-08T05:43:58
6;85576;2020-09-07T21:27:39;89038;silver;2020-09-07T11:45:54;XML;2020-09-07T14:04:20
7;33429;2020-09-08T03:54:48;24968;Handcrafted transmit frictionless;2020-09-07T07:45:27;Grocery content-based;2020-09-08T06:13:04
8;92991;2020-09-07T14:56:02;97708;Minnesota Intelligent;2020-09-08T07:35:40;executive;2020-09-07T14:14:09
9;20437;2020-09-07T19:23:17;22762;cross-platform;2020-09-07T11:38:53;COM;2020-09-08T06:04:01
10;23881;2020-09-07T18:58:35;39239;Central Steel Keyboard;2020-09-07T11:40:35;Incredible;2020-09-07T18:56:14
